,DateTime,LocationID,ForecastTime,VendorID,Valuee,Units
0,2021-02-25T18:00,NFSW4,2021-02-25T00,code_balram,111.65944191806527,CFS
1,2021-02-26T00:00,NFSW4,2021-02-25T00,code_balram,113.11098250874518,CFS
2,2021-02-26T06:00,NFSW4,2021-02-25T00,code_balram,117.82298499224277,CFS
3,2021-02-26T12:00,NFSW4,2021-02-25T00,code_balram,121.74938010809035,CFS
4,2021-02-26T18:00,NFSW4,2021-02-25T00,code_balram,118.11270415341751,CFS
5,2021-02-27T00:00,NFSW4,2021-02-25T00,code_balram,119.06919065532388,CFS
6,2021-02-27T06:00,NFSW4,2021-02-25T00,code_balram,121.15849407749805,CFS
7,2021-02-27T12:00,NFSW4,2021-02-25T00,code_balram,124.87779112653993,CFS
8,2021-02-27T18:00,NFSW4,2021-02-25T00,code_balram,122.01635179054203,CFS
9,2021-02-28T00:00,NFSW4,2021-02-25T00,code_balram,121.46947410895388,CFS
10,2021-02-28T06:00,NFSW4,2021-02-25T00,code_balram,123.99385546737919,CFS
11,2021-02-28T12:00,NFSW4,2021-02-25T00,code_balram,126.04818237663463,CFS
12,2021-02-28T18:00,NFSW4,2021-02-25T00,code_balram,123.20691708961779,CFS
13,2021-03-01T00:00,NFSW4,2021-02-25T00,code_balram,123.94538969785113,CFS
14,2021-03-01T06:00,NFSW4,2021-02-25T00,code_balram,126.08301303747012,CFS
15,2021-03-01T12:00,NFSW4,2021-02-25T00,code_balram,127.24979972864449,CFS
16,2021-03-01T18:00,NFSW4,2021-02-25T00,code_balram,124.21325186159443,CFS
17,2021-03-02T00:00,NFSW4,2021-02-25T00,code_balram,124.39776776960974,CFS
18,2021-03-02T06:00,NFSW4,2021-02-25T00,code_balram,125.71901578920092,CFS
19,2021-03-02T12:00,NFSW4,2021-02-25T00,code_balram,126.56149893609522,CFS
20,2021-03-02T18:00,NFSW4,2021-02-25T00,code_balram,124.35697988110947,CFS
21,2021-03-03T00:00,NFSW4,2021-02-25T00,code_balram,124.24744878210034,CFS
22,2021-03-03T06:00,NFSW4,2021-02-25T00,code_balram,125.31609232019525,CFS
23,2021-03-03T12:00,NFSW4,2021-02-25T00,code_balram,126.28946760245607,CFS
24,2021-03-03T18:00,NFSW4,2021-02-25T00,code_balram,123.85180263643358,CFS
25,2021-03-04T00:00,NFSW4,2021-02-25T00,code_balram,123.46216472835026,CFS
26,2021-03-04T06:00,NFSW4,2021-02-25T00,code_balram,124.270799447347,CFS
27,2021-03-04T12:00,NFSW4,2021-02-25T00,code_balram,125.69044986899247,CFS
28,2021-03-04T18:00,NFSW4,2021-02-25T00,code_balram,124.1118224814454,CFS
29,2021-03-05T00:00,NFSW4,2021-02-25T00,code_balram,123.21676604350117,CFS
30,2021-03-05T06:00,NFSW4,2021-02-25T00,code_balram,125.54603304662037,CFS
31,2021-03-05T12:00,NFSW4,2021-02-25T00,code_balram,126.41833348617459,CFS
32,2021-03-05T18:00,NFSW4,2021-02-25T00,code_balram,124.53641056486737,CFS
33,2021-03-06T00:00,NFSW4,2021-02-25T00,code_balram,125.19726350576076,CFS
34,2021-03-06T06:00,NFSW4,2021-02-25T00,code_balram,126.55468623595094,CFS
35,2021-03-06T12:00,NFSW4,2021-02-25T00,code_balram,128.06522194053844,CFS
36,2021-03-06T18:00,NFSW4,2021-02-25T00,code_balram,126.19607092519125,CFS
37,2021-03-07T00:00,NFSW4,2021-02-25T00,code_balram,125.07880191962978,CFS
38,2021-03-07T06:00,NFSW4,2021-02-25T00,code_balram,126.27874859014021,CFS
39,2021-03-07T12:00,NFSW4,2021-02-25T00,code_balram,127.03196589700113,CFS
0,2021-02-25T18:00,ARWN8,2021-02-25T00,code_balram,100.09121473577048,CFS
1,2021-02-26T00:00,ARWN8,2021-02-25T00,code_balram,100.10887620667556,CFS
2,2021-02-26T06:00,ARWN8,2021-02-25T00,code_balram,100.11505436619126,CFS
3,2021-02-26T12:00,ARWN8,2021-02-25T00,code_balram,100.12052877040664,CFS
4,2021-02-26T18:00,ARWN8,2021-02-25T00,code_balram,100.12134927738683,CFS
5,2021-02-27T00:00,ARWN8,2021-02-25T00,code_balram,100.11402104562575,CFS
6,2021-02-27T06:00,ARWN8,2021-02-25T00,code_balram,100.11497395391714,CFS
7,2021-02-27T12:00,ARWN8,2021-02-25T00,code_balram,100.11027156555852,CFS
8,2021-02-27T18:00,ARWN8,2021-02-25T00,code_balram,100.10902156988709,CFS
9,2021-02-28T00:00,ARWN8,2021-02-25T00,code_balram,100.11016745095168,CFS
10,2021-02-28T06:00,ARWN8,2021-02-25T00,code_balram,100.10948255706633,CFS
11,2021-02-28T12:00,ARWN8,2021-02-25T00,code_balram,100.10780018452122,CFS
12,2021-02-28T18:00,ARWN8,2021-02-25T00,code_balram,100.10856323071691,CFS
13,2021-03-01T00:00,ARWN8,2021-02-25T00,code_balram,100.10846647396815,CFS
14,2021-03-01T06:00,ARWN8,2021-02-25T00,code_balram,100.10907396848614,CFS
15,2021-03-01T12:00,ARWN8,2021-02-25T00,code_balram,100.10941596799121,CFS
16,2021-03-01T18:00,ARWN8,2021-02-25T00,code_balram,100.10965881455242,CFS
