DateTime,LocationID,ForecastTime,VendorID,Valuee,Units
2021-02-27T18:00,NFSW4,2021-02-27T00,code_balram,133.72723556119365,CFS
2021-02-28T00:00,NFSW4,2021-02-27T00,code_balram,126.15480374319783,CFS
2021-02-28T06:00,NFSW4,2021-02-27T00,code_balram,127.65637694274612,CFS
2021-02-28T12:00,NFSW4,2021-02-27T00,code_balram,129.3985774754922,CFS
2021-02-28T18:00,NFSW4,2021-02-27T00,code_balram,131.88146210115264,CFS
2021-03-01T00:00,NFSW4,2021-02-27T00,code_balram,127.35466132043798,CFS
2021-03-01T06:00,NFSW4,2021-02-27T00,code_balram,127.62272452596174,CFS
2021-03-01T12:00,NFSW4,2021-02-27T00,code_balram,129.11274941433192,CFS
2021-03-01T18:00,NFSW4,2021-02-27T00,code_balram,133.75910790326213,CFS
2021-03-02T00:00,NFSW4,2021-02-27T00,code_balram,130.4297314149304,CFS
2021-03-02T06:00,NFSW4,2021-02-27T00,code_balram,131.1333747396025,CFS
2021-03-02T12:00,NFSW4,2021-02-27T00,code_balram,132.06301466112618,CFS
2021-03-02T18:00,NFSW4,2021-02-27T00,code_balram,135.8414652972628,CFS
2021-03-03T00:00,NFSW4,2021-02-27T00,code_balram,132.8935047204396,CFS
2021-03-03T06:00,NFSW4,2021-02-27T00,code_balram,132.25881643638618,CFS
2021-03-03T12:00,NFSW4,2021-02-27T00,code_balram,133.68076987201582,CFS
2021-03-03T18:00,NFSW4,2021-02-27T00,code_balram,137.04435973092737,CFS
2021-03-04T00:00,NFSW4,2021-02-27T00,code_balram,133.88686876410398,CFS
2021-03-04T06:00,NFSW4,2021-02-27T00,code_balram,132.72024537286512,CFS
2021-03-04T12:00,NFSW4,2021-02-27T00,code_balram,133.52052882172993,CFS
2021-03-04T18:00,NFSW4,2021-02-27T00,code_balram,137.94550476726388,CFS
2021-03-05T00:00,NFSW4,2021-02-27T00,code_balram,134.31736855186594,CFS
2021-03-05T06:00,NFSW4,2021-02-27T00,code_balram,133.6012753453223,CFS
2021-03-05T12:00,NFSW4,2021-02-27T00,code_balram,134.8039991589571,CFS
2021-03-05T18:00,NFSW4,2021-02-27T00,code_balram,138.0452029327531,CFS
2021-03-06T00:00,NFSW4,2021-02-27T00,code_balram,136.32167107444872,CFS
